Title,Ingredients,Steps,Loves,URL
Ayam Woku Manado,ekor ayam kampung--jeruk nipis--garam--kunyit--bawang merah--bawang putih--cabe merah--cabe rawit merah--kemiri--sereh--daun salam--daun kemangi--penyedap rasa--air--,"Cuci bersih ayam dan tiriskan. Lalu peras jeruk nipis (kalo gak ada jeruk nipis bisa pake cuka) dan beri garam. Aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.--Goreng ayam tersebut setengah matang, lalu tiriskan--Haluskan bumbu menggunakan blender. Bawang merah, bawang putih, cabe merah, cabe rawit, kemiri dan kunyit. Oh iya kasih minyak sedikit yaa biar bisa di blender. Untuk sereh nya di geprek aja terus di buat simpul.--Setelah bumbu di haluskan barulah di tumis. Jangan lupa sereh dan daun salamnya juga ikut di tumis. Di tumis sampai berubah warna ya 👌--Masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. Biar bumbu meresap. Lalu tuangkan 1 1/2 Gelas air. Lalu tambahkan penyedap rasa (saya 3 Sdt, tapi sesuai selera ya) koreksi rasa dan Biar kan sampai mendidih--Setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. Masak lagi sekitar 10 menit. And taraaaaaaaaaaaaaa..... jadi deh Ayam Woku Manadonya.--Oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. Sesuai selera aja yaa buibuuuu 👌👌👌--",1,/id/resep/4473027-ayam-woku-manado
Ayam goreng tulang lunak,ayam--serai--daun jeruk--bawang putih--ketumbar--laos--kunyit--kemiri--garam--air--minyak goreng--,"Haluskan bumbu2nya (BaPut, ketumbar, kemiri, kunyit, Laos, garam) hingga halus, sisihkan--Campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. Uleni sampai tercampur rata.--Tambahkan air hingga ayam tenggelam semua. Masukkan serai dan daun jeruk nya kedalam rendaman ayam. Tutup panci presto rebus/ ukep presto sampai kurleb 45 menit. Dengan api sedang.--Setelah proses ukep presto selesai, tunggu suhu dingin ruang. Lalu goreng ayam dengan minyak goreng api sedang sampai ayam berwarna kecoklatan.--Matang dan sajikan ayam selagi hangat bersama nasi putih, sambal dgn perasan jeruk nipis, lalapan.--",1,/id/resep/4471956-ayam-goreng-tulang-lunak
Ayam cabai kawin,ayam--cabai hijau besar--cabai merah rawit--bawang putih--bawang merah--gula--garam--tomat merah--air--minyak goreng--,"Panaskan minyak di dalam wajan. Setelah minyak panas masukkan ayam yang sudah dipotong dadu. Goreng hingga matang. Lalu tiriskan.--Haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.--Panaskan minyak didalam wajan. Setelah minyak panas, masukkan bumbu yang sudah halus. Tunggu sampai wangi. Masukkan ayam yang sudah di goreng. Tambahkan air, gula dan garam. Tunggu sampai bumbu meresap di ayam. Sajikan.--",2,/id/resep/4473057-ayam-cabai-kawin
Ayam Geprek,daging ayam--gula dan garam--tepung ayam serbaguna--lalapan--minyak panas--sambal korek--cabe rawit merah dan bwg putih--,"Goreng ayam seperti ayam krispi--Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam--Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan ❤--",10,/id/resep/4473023-ayam-geprek
Minyak Ayam,kulit ayam--lemaknya--bawang putih kating----jahe--geprek--minyak goreng--ketumbar bubuk--,"Cuci bersih kulit ayam. Sisihkan--Ambil 50 ml minyak goreng satu bahan yg sudah disiapkan tadi. Tumis jahe hingga harum.--Masukkan kulit ayam, ketumbar dan bawang. Biarkan hingga keluar minyak alaminya sambil diaduk-aduk.--Tambahkan sisa minyak goreng. Masak hingga kulit ayam mengering. Angkat dan saring.--Setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jar/botol. Kalo saya, saya masukkan juga sedikit bawang putih goreng.--Kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata.--",4,/id/resep/4427438-minyak-ayam
Nasi Bakar Ayam,nasi--/fillet ayam--kotak----daun pisang--lidi/tusuk gigi--daun salam--serai----daun kemangi--opsional--cabe merah besar----kecap manis--minyak--air----cabe merah besar--cabe kecil--bawang merah--bawang putih--kemiri--kunyit--/jahe--/tomat--gula pasir--blok kaldu ayam  pake royco--masako--merica--,"Tumis bumbu halus, masukkan daun salam, serai--Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa--Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api--Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi--Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet 😀😀--Sajikan selagi hangat 👍👍endeusss--Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering--",1,/id/resep/4472552-nasi-bakar-ayam
Ayam Saus Hintalu Jaruk,ekor ayam--hintalu jaruk--cabe merah--cabe hijau--tepung terigu--merica bubuk--bawang putih--jeruk nipis--minyak goreng--gula--garam dan penyedap rasa--,"Potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica--Buat adonan tepung untuk melapisi ayam. Adonan A (Tepung terigu, garam, merica, penyedap dan air es) dan adonan B (Tepung terigu, garam, merica dan penyedap)--Masukan daging ayam kedalam adonan A kemudian lapisi dengan adonan B, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. Angkat tiriskan--Cincang bawang putih,iris seron cabe merah dan cabe hijau. Lumatkan kuning hintalu jaruk aka telur asin dengan air dingin sampai berbentuk pasta--Tumis bawang putih dan cabe sampai harum, kemudian tuangkan ayam dan pasta kuning telur.--Tambahkan gula, garam, penyedap dan merica secukupnya. Tes rasa dan masal hingga mengental--Angkat dan sajikan bersama nasi putih panas. Selamat mencoba--",0,/id/resep/4437475-ayam-saus-hintalu-jaruk
Ayam saos teriyaki Lada Hitam,ayam bagian dada dan tulang--bawang bombay--bawang daun--bawang putih--cabe merah besar--cabe ijo besar----air--mentega--saos teriyaki--gula pasir--royco ayam--larutan meizena--,"Cara Buat :
1. Sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. Bisa juga sebelum dimasak ayamnya dibalurkan ke saos teriyaki dan diamkan selama 15 menit agar meresap--2. Masukan ayam oseng sampai agak mateng, baru masukan cabe ijo dan merah.
Beri sedikit air--3. Masukan bumbu royco ayan saos teriyaki, gula, dan bubuk lada hitam. Cicipin--4. Setelah mulai mateng masukan daun bawang jika ingin kental bisa masukan larutan meizena yak. Saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis 😭..
Setelah masak siap disajikan dengan nasi angat.--",0,/id/resep/4472877-ayam-saos-teriyaki-lada-hitam
Steak ayam,dada ayam fillet--air jeruk nipis--garam--adonan basah--terigu--maizena--merica--garam--air--adonan kering--terigu--maizena--merica bubuk--kaldu jamur--garam--minyak goreng--bahan saus jamur--jamur tiram blender--bawang putih--keju parut--maizena--saus tiram--kecap manis--merica halus--garam--kaldu jamur--air--bahan pelengkap--buncis dan wortel di kukus--,"Cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci--Campur adonan kering, sisihkan--Campur adonan basah, sisihkan--Panaskan minyak goreng dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 daging ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan--Blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju parut, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat--Tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi daun bawang atau parsley jk ada.--",6,/id/resep/4472822-steak-ayam
Ayam Saos Asam Manis Simple,ayam bagian dada fillet--air jeruk nipis--tepung bumbu ayam inan uk besar--campur se--b.putih--b.merah--b.bombay--tomat uk besar--saos sambal--saos tiram--gula--garam--merica bubuk--,"Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)--Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar--Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.--Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)--Masukkan bawang bombay, tumis sebentar.--Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya--Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)--Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar--Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat--",6,/id/resep/4472901-ayam-saos-asam-manis-simple
