Title,Ingredients,Steps,Loves,URL,Main_Ingredient
Gurame Saus Padang,bahan utama:--ekor gurame--bumbu untuk saus:--bawang putih--bawang merah--cabai merah  banyaknya cabai  ya--cabai rawit iris tipis--bawang bombang iris--saus tiram--saus tomat--garam--gula--lada--wortel iris tipis memanjang--tomat  dadu--irisan daun bawang--jahe ukuran kecil iris tipis--tepung maizena--air--bumbu untuk menggoreng ikan :--tepung beras--tepung terigu--garam--jeruk nipis/lemon--minyak sayur--,"Cuci bersih ikan gurame yang akan dimasak. Setelah itu lumuri ikan dengan air perasan jeruk nipis/lemon diamkan beberapa menit untuk menghilangkan bau amisnya--Campur tepung terigu,tepung beras dan garam menjadi satu,kemudian lumuri ikan dengan tepung tersebut lalu goreng hingga matang lalu tiriskan. Pastikan minyak yang digunakan sudah panas ya biar ikannya tidak lengket😊.--Tumis bawang merah bawang putih hingga harum,kemudian masukan cabai yang sudah giling, aduk rata--Tambahkan bawang bombay,saus tiram saus tomat dan jahe, aduk sebentar lalu tambahkan 250ml air--Kemudian tambahkan garam dan gula sesuai selera.--Masukkan irisan cabai rawit dan daun bawang dan tomat. Aduk rata. Kemudian tambahkan larutan maizena agar saus mengental--Jika tidak ada tepung maizena. Diamkan beberapa menit hingga kandungan air menyusut dan saus terlihat mengental--Tes rasa. Jika sudah pas. Sajikan dan gurame saus padang siap disantap!😊--",2,/id/resep/4474009-gurame-saus-padang,ikan
Ikan Kembung Bakar Teflon,"ikan kembung sate, bersihkan--jeruk sate/jeruk kunci--garam halus--lada bubuk--ketumbar bubuk--","Kucuri ikan dengan jeruk, diamkan 5 menit--Lumuri ikan dg garam, lada dan ketumbar bubuk, simpan d kulkas sekitar 30 menit--Bakar d atas teflon yg d olesi mentega/ butter tipis dengan api yg kecil--Balik untuk membakar kedua bagian ikan.--Sajikan dengan cocolan sambal kecap--",2,/id/resep/4474225-ikan-kembung-bakar-teflon,ikan
Mujaer asam pedas manis,ikan mujaer--wortel  korek api--bawang bombai--bawang putih--cabai rawit--bawang merah--saos tomat--saos tiram--garam--merica--air matang--jahe--jeruk nipis--,"Bersihkan ikan sampai benar-benar bersih. Kerat-kerat dagingnya. Beri garam, merica, potongan jahe perasan jeruk nipis, dan 2 siung bawang uleg. Diamkan 10 menit--Uleg 5 bawang putih yang tersisa. Potong bawang bombai dan dan bawang merah dan cabai rawit.--Goreng ikan mujaer hingga matang, lalu sisihkan.--Tumis bawang merah dan bawang bombai hingga wangi, masukkan bawang putih uleg. Tumis hingga wangi.--Masukkan wortel, tambahkan air. Aduk-aduk. Tunggu hingga wortel hampir matang.--Masukkan saos tomat dan saos tiram. Beri perasan jeruk nipis. Aduk-aduk Koreksi rasa. Jika sudah pas, masukkan ikan, aduk sebentar saja.--Siap disajikan.--",1,/id/resep/4473689-mujaer-asam-pedas-manis,ikan
Gurame Asam manis,"ikan gurame--wortel--bumbu--bawang merah--bawang purih--tomat--cabe besar--cage kecil--sacet saos sambel--saos tomat--bahan tambahan--tepung maezena--kunir--garam, gula, merica ladaku--","Uleg kunir sama garam kasih air lalu guraminya d rendam, diem in sekitar 10menitan lalu goreng gurame--Untuk Saos asam manis nya, gongso semua bumbu sampek harum, masukan wortel setelah itu kasih Saos Dan garam gula merica ladaku, rasain setelah pas rasanya baru masukan tepung meizena yg sudah d cairkan dengan air setelah mengental angkat--Tata gurame d atas piring siram saosnya Dan siap di santaaap...--",5,/id/resep/4473428-gurame-asam-manis,ikan
Asam padeh ikan tuna,ikan tuna--bawang merah--bawang putih--kemiri--serai--kunyit--laos--daun jeruk--daun kunyit--asam kandis--belimbing hulu--cabai merah--cabai rawit--air--garam--gula--,"Haluskan bumbu (cabai merah, kemiri, bawang, kunyit, Laos)--Tumis bumbu sampai berubah warna--Tambahkan air--Masukkan serai yg sudah di geprek, daun kunyit, daun jeruk, asam Kandis, belimbing hulu, dan cabai rawit utuh (tdk dihaluskan dan tdk dipotong)--Tunggu sampai mendidih--Setelah mendidih, masukkan ikan tuna (sudah dicuci bersih dan diberi air perasan jeruk)--Kemudian beri garam dan gula secukupnya--Tunggu sampai air sedikit berkurang dan mengental--Asam padeh ikan tuna siap disajikan--",7,/id/resep/4473138-asam-padeh-ikan-tuna,ikan
Avocado Tuna Salad,kaleng tuna chunks--telur rebus--kentang rebus--avocado--bawang merah--zaitun--timun--sebongkol daun salada/lettuce--garam & merica--,"Campur semuanya dalam baskom, kecuali biji zaitun, telur rebus. Lalu tambahkan garam & merica--Tuang dalam piring saji, atur irisan telur & biji zaitun. Siap disajikan.--",0,/id/resep/4473223-avocado-tuna-salad,ikan
Lele Asam Manis,lele segar--air--kecap manis--margarine/minyak--saus tiram--bumbu halus :--bawang merah--bawang putih--cabe merah--kemiri--garam--penyedap rasa--gula pasir--,"Cuci bersihbikan, lalu goreng ikan lele agak matang tapi jangan sampai renyah. Tiriskan--Sambil menunggu, haluskan semua bumbu di atas.--Panaskan wajan dengan margarin.--Masukkan bumbu halus ke dalam wajan sampai harum. Tambahkan kecap, saus tiram dan air--Setelah berbau harum, barulah ikan lele dimasukkan.--Tunggu sampai bumbu meresap serta tes rasa. Setelah air tnggal sedikit, angkat dan sajikan.. Semoga membantu..--",0,/id/resep/4473217-lele-asam-manis,ikan
Pempek kulit ikan tenggiri,kulit ikan tenggiri halu--cc air matang--garam--penyedap/kaldu jamur--merica--gula--santan kental--bawang putih--bawang merah--sagu tani--terigu--sagu untuk balur--,Aduk ikan tambahkan air sedikit demi sedikit bersamaan dgn garam--Masukkan terigu bersama santan--Masukkan sagu--Balurin tangan dgn sagu bentuk adonan dgn sendok makan--Letakkan di piring yg ditabur sagu--Goreng minyak panas sampai mengembang--Dinginkan--Potong2 lalu goreng--Siap menggoyang lidah sajikan dgn cuko--,6,/id/resep/4472657-pempek-kulit-ikan-tenggiri,ikan
Tumis Tongkol Petai,tongkol--cabe gendot--papan petai--cabe rawit--cabe merah--b. merah--b. putih--daun salam--garam--gula putih--,"Cuci bersih ikan tongkol, goreng sebentar--Iris b. Merah, b. Putih, cabe merah, cabe rawit, cabe gendot. Tumis--Masukan petai, tambahkan sedikit air. Masukan garam, gula pasir. Cek rasa. Sajikan--",6,/id/resep/4472513-tumis-tongkol-petai,ikan
Ikan Patin pedas manis,ikan patin--bawang merah iris tipis--bawang putih iris tipis--bawang bombay ukuran kecil iris tipis--cabai merah keriting  iris tipis--cabai rawit setan  biarkan utuh--lengkuas digeprek--daun jeruk--kecap--bawang daun iris tipis--,"Ikan patin yang sudah dicuci bersih, dilumuri garam kemudian digoreng setengah kering--Tumis irisan bawang merah, putih, bombay dan cabai sampai dengan harum--Masukkan ikan yang sudah digoreng sebelumnya, kemudian tambahkan sedikit air--Masukkan kecap, lengkuas, daun jeruk, garam dan gula. Koreksi rasa--Biarkan sampai dengan meresap ke dalam daging ikan, setelah benar2 meresap terakhir masukkan irisan bawang daun dan cabai rawit setan, kemudian angkat dan sajikan--",0,/id/resep/4472909-ikan-patin-pedas-manis,ikan
