Title,Ingredients,Steps,Loves,URL,Main_Ingredient
.Sate Kambing,bahan-bahan :--daging kambing--daun pepaya--bumbu yang dihaluskan :--bamer--baput--jahe--ketumbar--lada bubuk--garam--air asam jawa--bahan sambel kecap :--kecap manis--cabe rawit--bamer--tomat--jeruk limau--,"1. Cuci bersih daging kambing, potong"" kotak, bungkus didalam lapisan daun pepaya (30menit)--2.setelah 30 menit, keluarkan daging dr daun pepaya, campurkan dengan bumbu yang sudah dihaluskan, diamkan 15 menit--3. Susun daging pada tusuk sate kurlen 4-5 potong per tusuk--4. Bakar (bisa pakai arang / teflon)--5. Bolak balik sate hingga benar"" matang--6. Sajikan dengan sambal kecap--",6,/id/resep/4470066-sate-kambing,kambing
Rabeg Kambing,daging kambing bagian paha beserta tulang--bumbu halus--cabe--bawang putih--bawang mersh--kemiri--jahe--kunyit--klabet--jinten--bumbu lain--sereh--daun salam--kayu manis--cengjeh--kapulaga hijau--kecap manis--garam--gula--pelengkap--acar--bawang goreng--,Tumis bumbu halus hingga harum. Masukan bumbu bumbu lain kecuali kecap.--Masukan daging kambing. Aduk sampai daging terbalut bumbu dan berubah warna--Pindahkan tumisan daging ke panci. Tambahkan air. Beri kecap gulz dan garam. Masak sampai daging empuk dan air tinggal sedikit--Sajikan dengan nasi dan pelebgkap--,6,/id/resep/4469170-rabeg-kambing,kambing
Gulai kambing,"daging kambing--bumbu :--santan--btng serai,memarkan--daun salam,jeruk--cabe--cengkeh--bumbu halus:--bawng merah--bwng putih--kemiri--kunyit--jahe--lengkuas--ketumbar--mrica,pala,garam,gula seckpnya--","Rebus dgng kambing dgn jahe krng lbh 20 menit lalu buang airnya,cc bersih--Tumis bumbu yg sudah dihaluskn,,masukn semua bahan Dan bumbu--Rebus sampe empuk--Terakhir masukn santan,tes rasa,,,--Sajikan dimangkok,yumm ✌️--",0,/id/resep/4467084-gulai-kambing,kambing
Sayur tulang kambing,.  tulang sumsum kambingagar bau amis hilang--kacang panjang--pepaya muda--cabe rawit--cabe merah besar--cabe hijau besar--bawang putih--bawang merah--miri--garam--masako--gula putih--minyak goreng--irisan  bawang merah--irisan  bawang putih--santan kelapa--,"Haluskan bawang merah 5 siung dan 5 bawang putih beserta cabe rawit dan miri.--Panaskan kompor ksh sedikit minyak goreng, masukkan irisan cabe besar merah, hijau serta bawang putih dan merah sampai setengah matang--Lalu masukkan cabe,miri,bawang merah dan bwang putih yg telah di haluskan,tumis sampai matang--Masukkan sedikit air pada tumisan tadi...lalu masukkan sayuran beserta tulang sumsum kambing yg sudah di rebus tadi--Terakhir masukkan santan, garam, 1bungkus masako, gula putih..tunggu sampai mendidih aduh terus agar santannya tidak pecah.--Matikan kompor...sayur tulang kambing siap di hidangkan--",1,/id/resep/4458778-sayur-tulang-kambing,kambing
Sate Kambing,garam daging kambing--jeruk nipis--kecap manis--bumbu kacang:--kacang tanah goreng--bawang merah--bawang putih--cabe merah besar--cabe rawit merah--kemiri--daun jeruk--air--kecap manis--gula merah iris--garam--bahan tambahan :--acar wortel timun bawang cabe rawit--bawang goreng--,"Potong daging kambing sesuai selera, beri perasan jeruk nipis, diamkan 10 menit, kemudian cuci bersih.. setelah itu tusukan daging pda tusuk sate--Buat bumbu kacang: 1. blender kacang tanah dengan air sampai halus. 2.haluskan bumbu (bawang cabe kemiri) tumis bumbu halus sampai harum. beri garam gula merah dan kecap.. aduk rata.. kemudian beri cairan kacang tanah.. aduk rata, koreksi rasa.. aduk terus agar tidak menggumpal... kekentalan saus kacang sesuai selera.. kemudian angkat.--Taruh dalam piring, saus kacang 3sdm dan kecap manis 3 sdm, aduk rata... baluri sate dengan bumbu ini sampai rata... kemudian bakar sampai matang...--Setelah matang sate disajikan demgan saus kacang, acar, bawang goreng, dan nasi/lontong.. nikmat satenya besar-besar.... 😁--",7,/id/resep/4462884-sate-kambing,kambing
Sop Kaki Kambing,"kaki kambing--kentang, potpng dadu besar--daun bawang, iris--l air panas--minyak utk menumis--bumbu halus:--bawang merah--bawang putih--garam--lada bubuk--pala bubuk--bumbu lainnya:--cengkeh--kapulaga india--kayu manis--ar anise--salam koja--","Bakar kaki kambing utk menghilangkan bulu2 halus dan baunya. Kerok sesekali lalu celupkan ke air panas mendidih. Lakukan hingga kaki benar2 bersih. Lalu potong2 sesuai selera.--Panaskan minyak, tumis bumbu halus hingga harum. Masukan air panas dan bumbu lainnya. Masak hingga mendidih.--Masukan kentang dan kaki kambing. Masak hingga kentang matang dan kaki kambing empuk.--Masukan sisa bahan. Masak 3-4 menit lalu matikan api. Sajikan hangat.--",9,/id/resep/4447258-sop-kaki-kambing,kambing
Kari kambing ala bundo,"daging kambing ½ , -, lumuri dengan  bumbu halus dan biarkan  menit--bawang merah, iris halus--tomat,  tipis--cengkeh--peka--kapulaga--bawang putih, iris halus--santan dari   kelapa--susu cair--air--kayu manis--daun jeruk purut buang tulangnya--daun kari--garam dan gula  hanya untuk menambah rasa--minyak goreng--bumbu halus:--jinten, sangrai--adas, sangrai--bawang merah--cabai merah--cabai rawit merah--bawang putih--ketumbar, sangrai--,/jahe--/kunyit--,/lengkuas--","Tumis hingga harum bawang merah iris, bawang putih, kayu manis, cengkeh, peka, kapulaga kemudian masukkan bumbu halus, masukkan daun jeruk dan daun kari,--Masukkan daging kambing dan buah tomat, masak hingga daging kambing berubah warna dan keluar airnya--Tambahkan air, masak hingga setengah matang--Masukkan santan dan susu cair, masak hingga matang atau empuk.--Daging kari kambing siap dihidangkan bersama acar, roti pratha dan es thai tea.--",1,/id/resep/4376163-kari-kambing-ala-bundo,kambing
Tongseng kambing presto,iga kambing/daging kambing--kol--bumbu halus :--bawang merah--bawang putih--kunyit bakar--kemiri sangrai--ketumbar sangrai--jinten--cabe merah besar--jahe--bumbu tambahan:--daun jeruk--sereh--lengkuas--daun bawang--tomat--cabe rawit merah--santan kara--gula garam--,"Potong daging kambing sesuai selera, cuci bersih kemudian masukan ke panci presto.--Masukan bumbu halus yg sudah ditumis, tambahkan air, sampai daging kambing terendam semua... tambahkan daun jeruk, sereh, lengkuas, masak sesuai petunjuk panci presto.. (me: 20 menit dari keluar uap pertama)--Sambil menunggu, rajang halus daun bawang, belah 4 tomat, potong kasar kol, cairkan santan dengan 300ml air.--Setelah 20 menit, matikan kompor, tunggu sampai uap habis.--Buka tutup panci, beri santan, kol, daun bawang, dan tomat, cabe rawit sesuai selera, aduk rata.. beri gula garam.. koreksi rasa.. masak sampai mendidih.. angkat dan sajikan..--Beri taburan bawang goreng.. makan dengan nasi hangat... 😋😋--",9,/id/resep/4442026-tongseng-kambing-presto,kambing
Telor dadar otak kambing,otak kambing--telor ayam--penyedap masako--bawang merah--bawang putih--daun bawang nnya--cabe rawit   adanya--garam--daun salam--jahe kunyit seujung jari kelingking dikit aja--minyak untuk numis--,Cuci otak. Kambing smpe bersih cuci semua bumbu--Geprek jahe kunyit dan campurkan ke otak kambing jgn lupa daun salam lalu kukus sekitar 15 menit kurg lbh--Bawang merah putih cabe daun bawang di iris ya ke mangkok lain campur semua bahan kecuali salam buang aja krna itu bekas kukusan aduk bersama telor otak kambing--Lalu goreng smpe. Kekuningan ya--Angkat tiriskan siap di santap pake nasi anget sedapp selamat mencoba--,1,/id/resep/4435937-telor-dadar-otak-kambing,kambing
Sate kambing siram sambal bawang kecap,"bumbu daging--daging kambing--,  ketumbar--royko--gula--,  bawang putih bubuk--minyak goreng--garam--kecap--untuk kuah--bawang merah--cabe rawit--kecap--",Potong2 daging lalu masukkan bumbu daging...diamkan selama 1/2 jam--Tusuk2 sate--Lalu di bakar--Untuk kuah tinggal di potong2 saja bawang merah dan cabe rawit siramkan kecap sesui selera lalu di tekan2 degn sendok--,1,/id/resep/4415488-sate-kambing-siram-sambal-bawang-kecap,kambing
