Title,Ingredients,Steps,Loves,URL
Beef Teriyaki,daging sapi--bawang bombai--bawang putih--saus teriyaki--kecap manis--garam--lada--gula--penyedap rasa--,"Potong kecil-kecil memanjang daging sapi, lalu cuci bersih--Tambahkan garam dan lada diamkan selama kurleb 15 menit--Iris bawang bombai dan bawang putih--Tumis bawang bombai dan bawang putih, setelah harum masukkan daging--Tumis daging sebentar lalu tambahkan saus teriyaki, kecap manis, garam, lada, gula dan penyedap rasa, beri air sedikit--Tutup wajannya agar panasnya merata--Tunggu sampai daging matang, lalu garnish sesuai selera--Beef teriyaki siap untuk disantap--",0,/id/resep/4473529-beef-teriyaki
Rendang Sapi,daging sapi--kelapa untuk 2l santan kental--bumbu dihaluskan :--cabe merah--cm jahe--ketumbar sangrai--kapulaga--cengkeh--bunga lawang--pala--bawang merah--bawang putih--cabe rawit--cm lengkuas dipipihkan--serai dipipihkan--daun jeruk--daun salam--daun kunyit--garam--kaldu bubuk--,"Potong daging berlawanan dari seratnya--Peras santan dari 4 butir kelapa tua menjadi 2 liter--Haluskan bumbu--Tuang santan dan bumbu ke dalam wajan anti lengket, masak hingga mendidih--Kemudian masukkan daging, garam dan kaldu. Masak dengan api kecil sambil sesekali di aduk agar tidak gosong--Sampai tahap ini dinamakan kalio, teruskan memasak hingga daging mulai mengering dan kehitaman--Rendang siap dinikmati--",1,/id/resep/4473035-rendang-sapi
Tongseng daging sapi pedas,"daging sapi--bumbu halus :--bawang merah--bawang putih--cm jahe--, cm kunyit--kemiri--cabe merah keriting--bumbu pelengkap :--sereh--daun salam--daun jeruk--cabe rawit merah utuh--toping--tomat besar--kol  menurut selera--","Tumis bumbu halus dengan sedikit minyak, tumis sampai matang dan mengental. Lalu masukkan daging sapi yang telah dipotong2 tadi. Lalu masukkan bumbu pelengkap. Tumis daging dengan bumbu sampai daging sapi berubah warna dan agak mengeluarkan minyak.--Masukkan air secukupnya sekitar 1,5 liter biarkan mendidih sebentar lalu kecilkan api dan tutup panci. Tunggu sampai daging empuk..--Setelah daging empuk masukkan kol dan tomat, masak sebentar saja agar tekstur kol agak crunchy.. angkat lalu sajikan--",3,/id/resep/4472871-tongseng-daging-sapi-pedas
Semur Daging Sapi,"daging sapi--bawang bombay--bawang putih--bawang merah--ladaku--royco sapi--daun jeruk--bunga lawang--jeruk nipis--kecap manis, gula pasir--air--","Potong2 daging sesuai selera, cuci dan lumuri dengan air jeruk, aduk2 dan cuci lagi--Rebus daging sampe setengah mateng--Sambil nungu daging direbus, bawang putih digeprek dan diiris2, bawang merah jg bawang bombay--Tumis bawang yg sudah diiris masukkan daging, daun jeruk, ladaku, bunga lawang dan pala, aduk2--Tambahkan air sampe daging terendam, masukkan royco, kecap dan gula pasir (kalo sy ditambahin lg garam sedikit)--Aduk2 dan koreksi rasa, biarka sampe airnya berkurang dikit (tapi jangan sampe habis airnya)--Hidangkan dengan kerupuk udang, hhmmmm ennaakkk--",0,/id/resep/4472987-semur-daging-sapi
Tongseng daging sapi,daging sapi--santan--bawang merah--bawang putih--kubis--tomat--pcs daun bawang--cm kunyit--cm jahe--cm lengkuas--daun salam--daun jeruk--pcs kemiri--ketumbar--kecap--pcs cabai merah--pcs cabai rawit--garam--penyedap rasa--merica bubuk ladaku--,"Cuci daging sapi dan potong kecil-kecil sesuai selera.--Masukkan daging sapi dalam air mendidih dan masak hingga empuk.--Lembutkan baput,bamer,kunyit,kemiri,ketumbar,dan cabai merah.--Tumis bumbu yang sudah dilembutkan tadi dan daun salam, daun jeruk, lengkuas,jahe, cabai rawit utuh,ladaku. Tumis hingga baunya harum.--Potong memanjang tomatnya, kubis dan daun bawang potong sesuai selera.--Masukkan bumbu tersebut yang sudah ditumis tadi kedalam rebusan daging yang sudah empuk. Lalu masukkan kubis,daun bawang dan tomat serta santan.--Masukkan juga garam,kecap dan penyedap rasa.--Cek rasa. Kalau sudah mendidih dan rasa sudah pas, TONGSENG DAGING SAPI SIAP DISAJIKAN. Taburi bawang goreng saat penyajiannya--",2,/id/resep/4472530-tongseng-daging-sapi
Beef black pepper spaghetti,"spaghetti la fonte, rebus sampai al dente--daging sapi, iris lawan arah--bahan perendam daging:--saus tiram--kecap asin--soda kue--bumbu black pepper instant--baput besar cicang kasar--babom  kotak--helai daun bawang  2cm--kecap asin--",Setelah spaghetti al dente beri sedikit minyak supaya tdk menempel--Daging yg sudah di marinated digoreng 3/4 mateng dgn sedikit minyak. Sisihkan--Tumis babom dan baput sampai harum layu. Masukkan bumbu black pepper instant lalu masukkan spaghetti dan daging sapi. Aduk rata. Beri sedikit kecap asin. Dan daun bawang. Aduk rata. Koreksi rasa bila perlu.--Sajikan dengan cinta--,5,/id/resep/4471729-beef-black-pepper-spaghetti
[Notitle],nan,nan,0,/id/resep/4471696-brokoli-sapi-cah-paprika
Carbonara Linguine smooked beef,"pasta linguine   +/- 200gr--strip smooked beef  kecil-kecil--keju parmesan atau sering saya ganti cheddar--bagian awang bombay kecil--kecil awang putih--susu full cream/cooking cream--telur--lada, garam--daun basil--margarin--","Rebus pasta dengan sedikit garam lalu sisihkan--Parut keju cheddar banyaknya sesuai selera lalu sisihkan--Potong kasar dan agak besar bawang bombay. Potong halus bawang putih.--Panaskan 2 sdm margarin lalu tumis bawang bombay dan bawang putih sebentar jangn sampai berwarna coklat.--Masukan smooked beef yang sudah di slice lalu tumis sampai agak matang.--Saya lebih senang menggunakan susu tapi bisa juga dengan cooking cream jika ingin tekstur berat dan kental, versi saya akan gunakan susu full cream +/- 200 ml--Masukkan 3/4 keju pada susu yang mulai mendidih. Sisakan 1/4 dari yang sudah di parut untuk taburan. Aduk rata--Masukkan pasta, lalu tambahkan seasoning lada dan garam sesuai selera. Aduk rata sampai agak kental, terakhir kecilkan api lalu masukkan 1 butir telur ke atas masakan dan aduk cepat sampai merata jangan sampai putih telur matang duluan. Telur akan membuat tekstur saus carbonara semakin kental. Ingat langsung aduk rata jangan sampai matang duluan karena panas yang di hantarkan.--Terakhir setelah bercampur rata dan aroma keluar matikan kompor dan masukkan 2 helai kecil daun basil lalu aduk kembali. Tempatkan di piring lalu taburi keju parut / parmesan. Semoga bermanfaat dan disukai.--",1,/id/resep/4471643-carbonara-linguine-smooked-beef
Semur Jantung Sapi,jantung sapi--bumbu halus--bawang putih--bawang merah--ketumbar--lada putih--cengkeh/cengkeh--garam--pala--jinten--jahe bubuk atau  cm jahe biasa--kemiri--bumbu tambahan--kecap inggris atau--saori teriyaki--royco--gula merah--kecap  atau--vetsin--gula putih--air putih   atau di sesuaikan dengan banyaknya jantung yang akan di masak--bawang bombay--delmonte barbeque sauce  atau--cabe hijau kecil--,"Potong-potong jantung sapi dan lumurkan delmonte barbeque sauce kemudian diamkan di dalam kulkas hingga menyerap--Ulek bumbu halus yang sudah di sebutkan di atas--Potong-potong bawang bombay--Kemudian, tumis bumbu halus hingga wangi dan bau kemiri tidak tercium--Masukan bawang bombay kedalam katel--Kemudian masukan jantung yang udah di diamkan teraebut dan aduk rata--Tambahkan air--Tambahkan saori saos teriyaki--Masukan gula merah--Tambahkan kecap manis--Tambahkan royco--Tambahkan vetsin--Tambahkan gula putih--Tambahkan kecap inggris--(Opsional) kalau kurang pedes, bisa di tambahin cabai hijau kecil di iris-iris--Tunggu hingga air aga saat, dan kemudian bisa di hidangkan--",2,/id/resep/4469770-semur-jantung-sapi
Daging sapi cincang taousi cah buncis,daging sapi--buncir atau kira2--bumbu--bawang putih--taousi hitam--lada bubuk--garam--gula pasir--royco kaldu sapi atau ayam--minyak wijen--kecap asin--,Cincang daging sapi di beri bumbu kecap asin minyak wijen gula tepung kanji secumput aduk rata diamkan dulu biar meresap--Potong panjng buncis.cincang bawang putih dan tousi--Tumis daging cincang yg sudah di bumbuin aduk sdh agk matang angkt siaihkn--Kasih minyak dikit di wajan tumis bawang dan tousi yg di cincang tumis sampi harum dan masukan buncis kasih sedikit garam dan gula aduk dan ksh sdikit air tutup biarkan matang--Lalu terakhir masukan daging cincang yg sdh di tumis tadi campur kdlm wajan buncis tumis bentr angkt--Tumia buncis daging sapi cincang siap di hidangkan..silakn mencoba--,1,/id/resep/4469431-daging-sapi-cincang-taousi-cah-buncis
