Title,Ingredients,Steps,Loves,URL,Main_Ingredient
Martabak tahu pedas kulit lumpia,kulit lumpia--tahu putih--daun bawang--daun seledri--telur--terigu +   air--minyak utk menggoreng--bumbu halus :--bawang putih--lada/merica bubuk--garam gula dan kaldu bubuk--cabe merah kriting iris serong--wortel agak kecil parut kasar--,"Haluskan tahu putih campur semua bahan kecuali kulit lumpia (icip rasa)--Ambil 1 lbr kulit lumpia beri 1 sdm adonan tahu ditengahnya lalu lipat (seperti amplop) dgn rapi, lalu beri lem disetiap sisisnya spy tdk terbuka pd saat digoreng, lakukan hingga habis--Panaskan minyak diatas wajan dgn api sedang cenderung kecil, goreng martabak sampai kecoklatan angkat dan tiriskan (abaikan wajannya yg sdh mulai jelek ya 😁)--Martabak tahu pedas kulit lumpia siap dihidangkan--Selamat mencoba... 😘😘--",7,/id/resep/4472701-martabak-tahu-pedas-kulit-lumpia,tahu
Batagor (Bakso Tahu Goreng) ala rumahan anti gagal,bahan batagor--kotak ukuran kecil tahu kuning--tepung terigu--mentega--bawang putih--garam--merica--air putih matang--bahan saus--saus cabe--bawang putih--cabe rawit--kecap--air matang--,"Haluskan tahu kuning, bawang putih, garam merica (hingga lumat)--Tambahkan mentega, tepung terigu kedalam adonan tahu dan beri air hingga lembek tapi jangan sampai encer ya. Koreksi rasa--Siapkan wajan dengan minyak, goreng adonan yang telah dibuat. (Saya pake 2 sendok buat bikin kecil2). Angkat dan tata di mangkuk.--Haluskan bawang putih, cabai rawit--Tumis bawang putih dan cabai yang sudah di haluskan hingga harus.--Masukkan saus, kecap, garam. Koreksi rasa--Batagor dan sausnya siap untuk dinikmati 🤤--",7,/id/resep/4473611-batagor-bakso-tahu-goreng-ala-rumahan-anti-gagal,tahu
Sayur Sutace (sop tahu ceker),ceker ayam--wortel ukuran sedang--wortel--kol--daun bawang--seledri--tahu kuning--garam--gula putih--penyedap rasa--lada bubuk--jeruk nipis--bawang putih--bawang merah--,"Bersihkan ceker, lau rebut selama 3-4 menit pakai jeruk nipis biar gk terlalu bau--Tiriskan ceker--Potong2 tahu, lalu goreng set mateng, tiriskan--Potong2 sayurr, cuci hingga bersihh.--Haluskan bawang merah dan bawang putih.--Panaskan sedikit minyak masukan bawang yg sudah di haluskan, oseng2 hingga tercium wangi--Masukan sayurr, tampahkan air, garam, gula putih dan penyedap rasa secukupnya.--Tunggu hingga sayur hampir matang, masukan ceker, dan tahu.--Tutup wajan hingga kaldu meresap kedalam ceker dan tahu.--Setelah matang, tuang ke mangkok, siap di santappp 😊😊--",5,/id/resep/4473647-sayur-sutace-sop-tahu-ceker,tahu
Sapo Tahu Ayam ala Mey👌,"tofu--filet ayam--wortel, iris tipis menyerong--jagung muda, iris tipis menyerong--kuntum bunga kol, pisahkan jd kuntum2 kecil--pakcoy, iris  bag/--daun kol, iris2--saos tiram--kecap asin--royco ayam--,  air--pengental :   air +   sagu--bumbu halus :--bamer--baput--lada halus--minyak utk menumis--","Iris tofu, jgn terlalu tipis, nanti hancur, goreng..,sisihkan--Siapkan sayur2annya, cuci, iris2, sisihkan (ups: pakcoynya hampir kelupaan)--Tumis bumbu halus, dgn api kecil, hingga matang, masukkan filet ayam, aduk2 beri air, masak sampai mendidih--Masukkan irisan wortel, jagung & brokoli, aduk tutup, biarkan sayur2an lunak & matang--Beri saos tiram, kecap asin & Royco, aduk2--Masukkan pakcoy & kol, aduk2, terakhir masukkan pengental, aduk rata, koreksi rasa--Sayuran pindahkan kepiring/mangkok, tata tofu goreng diatasnya, siram dgn saosnya--Sajikan--Ini foto sapo tahu yg pertama sekali buat pagi tadi #dibuangsayang--",4,/id/resep/4473233-sapo-tahu-ayam-ala-mey%F0%9F%91%8C,tahu
TTKK (tahu telur timun tauge kuah kacang),telur--tahu--timun--tauge--kuah kacang :--kacang tanah disangrai--bawang merah--bawang putih--cabe kering--cabe rawit--gula merah--,"Goreng tahu dan telur, rebus tauge.--Potong2 timun sesuai selera--Tata telur pada piring, potong tahu taruh diatas telur tadi lalu tauge dan timun lalu airam kuah kacang--TTKK siap disantap--",0,/id/resep/4473231-ttkk-tahu-telur-timun-tauge-kuah-kacang,tahu
Perkedel Tahu Wortel Sederhana,tahu putih--wortel--masako ayam--lada bubuk--telur ayam--terigu--minyak untuk menggoreng--,"Hancurkan tahu dalam baskom--Campurkan wortel yang telah di potong-potong, lada bubuk, masako, telur dan terigu--Uleni hingga semua tercampur--Ambil menggunakan sendok makan, masukkan ke dalam minyak panas, goreng hingga berwarna kecoklatan.--",4,/id/resep/4473213-perkedel-tahu-wortel-sederhana,tahu
Kari tahu telur kentang,"telur rebus--tahu,   bagian lalu goreng berkulit--kentang,   bagian--santan kara ukuran kecil--air/kaldu--cengek utuh--haluskan :--cabe merah buang--bawang merah--bawang putih--bumbu kari inant--kemiri--ketumbar--merica bubuk--pala bubuk--kunyit--rempah cemplung--sereh, geprek--lengkuas--jahe--daun jeruk--daun salam--asam jawa--garam/kaldu bubuk--gula pasir--","Tumis bumbu halus dan rempah cemplung hingga harum dan matang--Masukan kentang. Aduk rata--Beri air. Setelah agak mendidih masukan telur, tahu dan rawit utuh--Bumbui garam dan gula pasir--Setelah didih, masukan santan, aduk sesekali--Angkat, sajikan dengan pelengkap--",3,/id/resep/4471788-kari-tahu-telur-kentang,tahu
Sundubu Jjigae (sup tahu pedas ala2 korea),"tahu putih, 2 besar--toge--kol--sawi putih--daun bawang, iris serong agak tebal--bulat bawang bombay, iris memanjang--botol air--perasan jeruk nipis/limau/lemon--telur, kocok lepas--bumbu halus :--cabe merah besar--cengek merah--bawang merah--bawang putih--tomat sedang--","Haluskan bumbu (blender).--Tumis bawang bombay sampai harum, lalu masukkan bumbu halus, beri air, tumis sampai bumbu matang--Baru masukkan sayuran dan tahu, perasan jeruk, gula, kaldu ayam, garam, tes rasa.--Kalo udah dirasa pas dan matang baru masukkan kocokan telur, aduk2 sampai telur matang, lalu matikan api. Langsung beri daun bawang atasnya. Selesai.--",7,/id/resep/4472974-sundubu-jjigae-sup-tahu-pedas-ala2-korea,tahu
Nugget Tahu Ekonomis Anti Gagal,"tahu sy: sekitar 700g--telur--bawang putih, haluskan--ladaku--garam--royco sapi--wortel,kupas kulitnya, lalu parut--daun bawang, iris halus--bahan pelapis:--telur, kocok lepas--tepung roti/panir/bread crumb--","Cuci tahu dan tiriskan. Agar saat digoreng tidak rapuh atau nyemek.--Haluskan tahu, lalu beri semua bumbu kecuali bahan pelapis. Aduk rata.(bisa koreksi rasa ketika telur belum ditambahkan, garam bisa disesuaikan karna setiap tahu ada yg asin dan tawar)--Oles cetakan dengan minyak sayur. Masukkan adonan tahu lalu kukus selama 35 menit atau sampai matang. Tutup kukusan dilapisi serbet agar air tidak menetes.--Setelah matang tunggu hingga dingin.--Setelah dingin potong2. Siapkan bahan pelapis. Celupkan ke telur lalu ke tepung roti lakukan sampai habis. Nugget bisa langsung digoreng atau disimpan di frezzer. Sebaiknya menyimpan nugget tidak ditumpuk apabila ditumpuk alasi dengan kertas minyak/kertas roti agar tidak lengket.--Goreng di api sedang. Lakukan satu balikan bila satu sisi sudah kering. Agar tidak menyerap banyak minyak.--Sajikan hangat dengan saus sambal😄. Lebih enak lagi bila ditambah keju dan kornet😍. Next time dicoba pakai keduanya😊.--",9,/id/resep/4448501-nugget-tahu-ekonomis-anti-gagal,tahu
Tahu Petis musim ujan,"petis--cabe rawit,rajang--bwg pth,rajang halus--bwg mrh,rajang halus--garam--maizena,larutkan dg   air--","Siapkan bahan2--Goreng tahu smp matang..sementara itu kita rajang halus bumbu/diuleg jg boleh..--Siapkan minyak dwajan ±3 sdm,masukkan bumbu & petis,aduk rata. Biarkan smp harum. Lalu masukkan larutan maizena,aduk lg.. Icip smp dpt rasa yg pas.. Sajikan dgn tahu goreng... Sedapp--Drpd beli dluar,mending bkin sndiri yuk,rempong sdkit gpp demi kluarga trsayang..--",9,/id/resep/4472947-tahu-petis-musim-ujan,tahu
