Title,Ingredients,Steps,Loves,URL,Main_Ingredient
Orek tempe manis pedas super simple,tempe--cabe gendot--cabe keriting--cabe rawit merah--bawang merah--bawang putih--kecap--saus tiram--saus tomat--kaldu bubuk--garam--gula--,"Potong2 tempe sesuai selera lalu goreng sebentar.--Tumis duo bawang dan semua cabe (cabe bisa sesuai selera ya pedesnya suka segimana) sampai harum. Masukkan tempe, kecap, saus tiram, saus tomat, kaldu bubuk, gulgar, dan tambahkan air satu gelas belimbing. Aduk2 dan tutup wajan.--Saat air sudah menyusut dan kuah kecap mengental. Cek rasa. Klo sudah oke. Matikan api. Sajikan. (Klo aku suka airnya sedikit sekali 😋). Selamat mencoba !--",7,/id/resep/4474061-orek-tempe-manis-pedas-super-simple,tempe
Terik ayam tempe telor,sayap ayam--telor--papan tempe--bumbu halus:--bawang merah--bawang putih--kemiri--ketumbar--garam--bumbu lain:--lengkuas--daun salam--sereh--gula jawa--bawang goreng--minyak untuk menumis--santan kara--air--cabe rawit--,"Cuci sayap ayam kemudian sisihkan. Rebus telur dan kupas. Sisihkan. Potong tempe sesuai selera. Sisihkan.--Panaskan minyak langsung di dalam panci. Tumis sereh, daun salam, dan lengkuas. Setelah beberapa saat masukkan bumbu halus. Tumis sampai berbau harum. Kemudian masukkan air dan gula jawa dan cabe rawit. Jika air sudah mendidih, masukkan sayap ayam dan telor. Masukkan tempe belakangan. Tunggu beberapa saat sampai ayam empuk (karena pakai sayap ayam, jadi tidak begitu lama). Jika ayam sudah empuk masukkan santan kara. Tunggu beberapa saat. Sesuaikan rasa. Matikan api, dan taburkan bawang goreng.--Terik siap dinikmati dengan nasi hangat dan kerupun 😁--",6,/id/resep/4474066-terik-ayam-tempe-telor,tempe
Penyet Tempe Sambel Korek Kemangi,tempe--daun kemangi--cabe rawit--bawang putih--gula--garam--,"Iris tempe jd beberapa potong, bumbui dg bawang putih dan garam. Goreng sampai kering--Ulek cabe rawit dan 1 siung bawang putih ukuran besar tambah gula garam sesuai selera--Setelah halus tuang minyak goreng panas bekas goreng tempe td--Penyet tempe diatas sambel dan beri daun kemangi--Tempe penyet siap disantap 😋😋😋--",8,/id/resep/4473809-penyet-tempe-sambel-korek-kemangi,tempe
Nugget tempe,"papan tempe dihaluskan--wortel--daun bawang--telur--bawang merah--bawang putih--tepung terigu--garam,lada & penyedap rasa--tepung panir--minyak goreng--","Campur tempe,wortel,daun bawang & bumbu yg sudah dihaluskan,beri garam,lada & penyedap rasa,tes rasa lalu masukkan telur--Bentuk adonan sesuai selera lalu gulingkan di tepung panir--Goreng hingga matang--Sajikan dengan saos sambal--",8,/id/resep/4473715-nugget-tempe,tempe
Tempe tepung sajiku,tempe--bngkus sajiku tepung serbaguna--air--minyak untuk manggoreng--,Potong tempe tipis2--Tuang tepung lalu beri air secukupnya--Panaskan minyak tunggu sampai panas--Masukan satu persatu--Tempe kedalam tepung sampai adonan habis--Angkat tiriskan dan sajikan dengan cabe rawit--,1,/id/resep/4473463-tempe-tepung-sajiku,tempe
Patty Tempe,"tempe, kukus, haluskan--daging sapi/ayam--tepung panir--telur--bawang bombay ukuran sedang,  kotak kecil--bawang putih, memarkan lalu cincang--merica bubuk--garam--","Ini tepung kobe putih yg sy pakai.--Campur semua bahan dalam wadah.--Ulen hingga semua tercampur rata. Adonan menjadi padat. Tes rasa.--Bentuk bulat lalu pipihkan. Timbang per adonan bila perlu.--Siapkan teflon, beri 2 sdm minyak goreng, panaskan. Masukkan adonan. Masak hingga bagian bawah adonan kecoklatan, lalu balik, masak kembali hingga kecoklatan. Angkat, dinginkan, siap untuk isian burger. Atau mau dimakan gitu aja di cocol saus sambal jg enakkk.--Bila akan di simpan di freezer, sebaiknya panggang di teflon setengah matang, biarkan dingin, lalu masukkan dalam wadah tertutup atau plastik. (sengaja sy simpan 1 buah selama 2 minggu, setelah di goreng ttp oke rasanya).--Selamat Mencoba 😃--",9,/id/resep/4469642-patty-tempe,tempe
Orek tempe basah bumbu ulek (recook),"papan tempe,--cabe ijo, iris--kecap manis--gula, garam, penyedap--air--bumbu halus:--bawang merah--bawang putih--tomat--cabe merah keriting/cabe rawit--kemiri--ketumbar--","Goreng tempe setengah matang, angkat, tiriskan dan sisihkan.--Panaskan secukupnya minyak, tumis bumbu sampai layu dan harum. Tambahkan air, biarkan mendidih. Tambahkan kecap, lombok dan garam, aduk rata. Tambahkan tempe, aduk rata. Koreksi rasa. Angkat.--Siap disajikan.--",6,/id/resep/4473253-orek-tempe-basah-bumbu-ulek-recook,tempe
Perkedel Tempe,"papan tempe--bumbu halus: ulek kasar--bawang merah--bawang putih--cabai rawit--ketumbar bubuk--garam, ebi--tepung racik bakwan--","Campurkan adonan tempe basah dengan bumbu halus, aduk rata--Panaskan wajan dgn minyak, tuang adonan per 1 sendok makan sampai adonan habis--Goreng adonan sampai berwarna kekuningan--",1,/id/resep/4473022-perkedel-tempe,tempe
Perkedel Tempe,"tempe--telur, kocok lepas--daun bawang, iris2--seledri, iris halus--gula, garam, lada bubuk--bumbu yg digoreng/ditumis & dihaluskan:--bawang putih--bawang merah--","Potong2 tempe, dan kukus selama 25 menit.--Haluskan tempe dan masukkan semua bumbu, aduk rata.--Bentuk tempe sesuai selera. Saya pakai sendok sayur untuk mencetaknya.--Selanjutnya goreng diapi sedang sampai kekuningan.--",11,/id/resep/4448262-perkedel-tempe,tempe
Nugget Tempe Simple,"papan tempe--wortel--telur--bawang merah--bawang putih--daun bawang--garam--: tepung terigu, merica, tepung roti & kaldu bubuk--","Haluskan bawang merah, bawang putih, merica, garam & kaldu bubuk. Tambahkan tempe, uleg sampai lembut--Potong2 daun bawang & parut wortel menggunakan parutan keju, siapkan baskom--Masukkan semua bahan dalam baskom kecuali telur & tepung roti. Tambahkan air & terigu, aduk rata. Masukkan dalam loyang & kukus selama 30 menit--Angkat, setelah dingin potong2 sesuai selera, celupkan dalam telur & gulingkan dalam tepung roti, simpan dalam freezer 30 menit. Lalu goreng. 🍱--",6,/id/resep/4472907-nugget-tempe-simple,tempe
Sarden ikan pindang tempe pedas adam manis,ikan pindang ukuran sedang/besar--papan tempe kecil iris serong--cabe keriting--cabe rawit--bawang putih iris--bawang merah iris--saos pedas--saos tomat--garam--gula--daun bawang--jahe--lengkuas--daun salam--tomat--,"Goreng ikan pindang yg sudah diberaihkan durinya dan tempe. Lalu sisihkan--Tumis irisan baput, bamer,cabe, tomat hingga agak layu--Tambahkan air hingga hampir mendidih tambahkan saos tomat,saos pedas,gula,garam--Masukkan tempe dan ikan oindang yg sudah digoreng sebelumnya.--Tes rasa dan tunggu hingga dirasa sudah cukup. Lalu sajikan--",4,/id/resep/4472680-sarden-ikan-pindang-tempe-pedas-adam-manis,tempe
Tempe Isi Kekinian,papan tempe bulat--tepung terigu--garam--gula--merica--ketumbar bubuk--daun bawang--isian tempe--cabe merah--cabe hijau--bawang merah--bawang putih--,"Potong tempe lalu buat lubang di tengah untuk isiannya--Ulek cabe,bawang sampai kasar atau halus sesuai selera--Siapkan tepung,merica,daun bawang diiris, garam dan aduk sampai rata. Lalu beri air secukupnya--Masukan hasil ulekan bawang dan cabe kedalam tempe yang sudah dilubangi.--Masukan tempe kedalam adonan terigu.--Panaskan minyak lalu goreng tempe sampai kecoklatan. Lalu tiriskan, tempe pun siap disajikan bersama nasi hangat atau jadi cemilan.--",1,/id/resep/4472038-tempe-isi-kekinian,tempe
Sayur Lodeh Tempe Semangit (Bumbu Ulek),"labu siam,  tipis--terong ungu,  kecil--kacang panjang,--- papan tempe semangit,  kasar--santan kara cair--daun salam--lengkuas, geprek--.  ebi, seduh, tiriskan--gula jawa, sisir halus--garam dan gula--bumbu halus:--bawang merah--bawang putih--cabe merah--","Tumis ebi hingga setengah kering. Masukkan bumbu halus. Tumis hingga harum. Tambahkan daun salam dan lengkuas.--Masukkan air sesuai selera. Tambahkan santan cair. Masukkan gula jawa, garam, dan gula pasir. Aduk rata.--Setelah setengah mendidih masukkan kacang panjang dan labu siam. Setelah setengah empuk, masukkan terong dan tempe semangit. Biarkan hingga mendidih.--Matikan api setelah didapat kematangan yg diinginkan. Jangan lupa koreksi rasa. Sajikan dengan nasi hangat, sambal terasi, dan empal daging.--",6,/id/resep/4471934-sayur-lodeh-tempe-semangit-bumbu-ulek,tempe
Tempe mendoan,tempe mendoan--tepung terigu--bawang putih--sndk teh merica g--sndk teh ketumbar ng--garam upnya--daun bawang--air kira2--,"Campurkan tepung terigu dengan air--Masukkan daun bawang iris--Masukkan bawang putih yang dihaluskan, merica bubuk, garam, ketumbar bubuk--Goreng setengah matang.--",4,/id/resep/4472356-tempe-mendoan,tempe
Bacem tempe mentega,tempe ukuran sedang--bumbu bumbu:--bawang merah--bawang putih--ketumbar--gula jawa--sm mentega--sm kecap manis sedang--penyedap rasa--garam--daun salam--laos--air--,"Tempe di potong sesuai selera--Haluskan Bawang merah, bawang putih dan ketumbar.--Siapkan wajan, taruh tempe yang sudah dipotong, bumbu halus, gula Jawa, kecap, garam, penyedap rasa, daun salam dan lengkuas, tambahkan air, kemudian tutup dan rebus dengan api sedang--Setelah air rebusan tinggal separo, dibolak balik agar bumbu merata dan koreksi rasa.--Setelah air hampir habis masukkan mentega, sambil di bolak balik agar bumbu merata dan tidak gosong--Setelah air habis, matikan kompor--Bacem tempe siap di sajikan--Selamat mencoba dan terima kasih.--",3,/id/resep/4472210-bacem-tempe-mentega,tempe
