Judul Resep,Bahan-bahan,Petunjuk Pembuatan,id
Ayam Goreng Krispi,Ayam potong--Tepung terigu--Telur--Tepung maizena--Bumbu halus--Minyak untuk menggoreng,"1. Campurkan tepung terigu, tepung maizena, bumbu halus, dan telur hingga membentuk adonan kental.--2. Celupkan ayam ke dalam adonan hingga rata.--3. Goreng ayam dalam minyak panas hingga kuning kecoklatan. Tiriskan.",256
Sate Ayam Madura,Daging ayam--Bumbu kecap--Bumbu sate--Tusuk sate,"1. Marinate daging ayam dengan bumbu sate selama 1 jam.--2. Tusuk daging ayam ke tusuk sate.--3. Panggang sate hingga matang, sambil diolesi bumbu kecap.",259
Ayam Bakar Taliwang,Ayam--Bumbu Taliwang--Jeruk nipis--Daun jeruk,"1. Campurkan ayam dengan bumbu Taliwang dan perasan jeruk nipis. Diamkan selama 2 jam.--2. Panggang ayam hingga matang, sambil diolesi bumbu Taliwang.",299
Sup Ayam Jagung,Daging ayam--Jagung manis--Wortel--Bawang putih--Kaldu ayam--Garam dan merica,"1. Tumis bawang putih hingga harum, masukkan daging ayam, masak hingga berubah warna.--2. Tambahkan kaldu ayam, wortel, dan jagung. Masak hingga semua bahan matang.--3. Beri garam dan merica sesuai selera.",303
Ayam Rica-Rica,Daging ayam--Bumbu rica-rica--Daun jeruk--Santan--Minyak untuk menumis,"1. Tumis bumbu rica-rica hingga harum. Tambahkan daun jeruk.--2. Masukkan daging ayam, aduk hingga berubah warna.--3. Tuangkan santan, masak hingga matang dan bumbu meresap.",465
Ayam Kecap,"Ayam--Kecap manis--Bawang bombay--Bawang putih--Kecap asin--Gula, garam","1. Tumis bawang putih dan bawang bombay hingga harum.--2. Masukkan ayam, aduk hingga berubah warna.--3. Tambahkan kecap manis, kecap asin, gula, dan garam. Masak hingga ayam matang dan bumbu meresap.",522
Ayam Penyet,"Daging ayam--Terasi--Jeruk nipis--Cabe rawit, tomat, garam","1. Haluskan cabe rawit, tomat, dan terasi.--2. Campurkan bumbu halus dengan ayam rebus, garam, dan perasan jeruk nipis. Penyet hingga bumbu meresap.",524
Ayam Bumbu Bali,Ayam--Bumbu Bali--Daun salam--Santan--Minyak untuk menumis,"1. Tumis bumbu Bali hingga harum. Tambahkan daun salam, serai, dan daun jeruk.--2. Masukkan ayam, aduk hingga berubah warna.--3. Tambahkan santan, masak hingga ayam matang dan bumbu meresap.",525
Ayam Panggang BBQ,Ayam--Bumbu BBQ--Bawang putih--Madu,"1. Campurkan bawang putih, madu, dan bumbu BBQ.--2. Lumuri ayam dengan campuran bumbu, diamkan selama 2 jam.--3. Panggang ayam hingga matang sambil sesekali diolesi dengan bumbu.",836
Ayam Rica-Rica Hijau,Daging ayam--Bumbu rica-rica hijau--Daun jeruk--Santan--Minyak untuk menumis,"1. Tumis bumbu rica-rica hijau hingga harum. Tambahkan daun jeruk.--2. Masukkan daging ayam, aduk hingga berubah warna.--3. Tuangkan santan, masak hingga matang dan bumbu meresap.",850
Ayam Cah Jamur,Daging ayam--Jamur--Bawang putih--Saos tiram--Kecap manis--Garam,"1. Tumis bawang putih hingga harum. Masukkan daging ayam, aduk hingga berubah warna.--2. Tambahkan jamur, saos tiram, kecap manis, dan garam. Masak hingga matang.",851
Ayam Tangkap Aceh,Ayam--Bumbu Tangkap--Daun salam--Santan--Minyak untuk menumis,"1. Tumis bumbu Tangkap hingga harum. Tambahkan daun salam, serai, dan daun jeruk.--2. Masukkan ayam, aduk hingga berubah warna.--3. Tambahkan santan, masak hingga ayam matang dan bumbu meresap.",934
Ayam Gulai,Ayam--Bumbu Gulai--Santan--Daun jeruk--Serai--Daun salam--Garam dan gula,"1. Tumis bumbu gulai hingga harum. Tambahkan daun jeruk, serai, dan daun salam.--2. Masukkan ayam, aduk hingga berubah warna.--3. Tuangkan santan, masak hingga ayam matang dan bumbu meresap.",1080
Ayam Kari,Ayam--Bumbu Kari--Santan--Kentang--Wortel--Kacang polong--Daun jeruk--Serai--Daun salam,"1. Tumis bumbu kari hingga harum. Tambahkan daun jeruk, serai, dan daun salam.--2. Masukkan ayam, aduk hingga berubah warna.--3. Tuangkan santan, masak hingga ayam matang dan bumbu meresap.",1315
Ayam Rica-Rica Padang,Daging ayam--Bumbu rica-rica Padang--Daun jeruk--Santan--Minyak untuk menumis,"1. Tumis bumbu rica-rica Padang hingga harum. Tambahkan daun jeruk.--2. Masukkan daging ayam, aduk hingga berubah warna.--3. Tuangkan santan, masak hingga matang dan bumbu meresap.",1800
