Nama,Bahan,Petunjuk,id
Sate Kambing Madura,Daging kambing--Bumbu sate siap pakai--Kecap manis--Bawang merah--Petunjuk Pembuatan,Marinate daging dengan bumbu sate dan kecap manis.--Tusukkan daging pada tusuk sate.--Panggang sate hingga matang.--Sajikan dengan kecap manis dan bawang merah.,4043
Sup Kambing Bening,Daging kambing--Bawang putih--Jahe--Wortel--Daun bawang--Petunjuk Pembuatan,"Rebus daging kambing dengan air hingga mendidih.--Tambahkan bawang putih, jahe, dan wortel.--Masak hingga daging empuk dan wortel matang.--Sajikan dengan taburan daun bawang.",4105
Gulai Kambing Padang,Daging kambing--Santan kelapa--Daun jeruk--Bumbu gulai Padang--Petunjuk Pembuatan,"Tumis bumbu gulai hingga harum.--Masukkan daging kambing, aduk rata.--Tambahkan santan dan daun jeruk, masak hingga matang.--Sajikan dengan nasi hangat.",4108
Tongseng Kambing,Daging kambing--Bumbu tongseng--Kacang merah--Tomat--Petunjuk Pembuatan,"Tumis bumbu tongseng hingga harum.--Masukkan daging kambing, aduk hingga berubah warna.--Tambahkan kacang merah dan tomat, masak hingga matang.--Sajikan dengan nasi.",4109
Lamb Kebab,Daging kambing cincang--Yoghurt--Bawang putih cincang--Paprika potong dadu--Petunjuk Pembuatan,"Campur daging kambing, yoghurt, bawang putih, dan paprika.--Bentuk adonan menjadi tusuk kebab.--Panggang hingga matang.--Sajikan dengan saus mint.",4130
Empal Kambing,Daging kambing potong tipis--Kecap manis--Bawang merah iris tipis--Jeruk nipis--Petunjuk Pembuatan,Marinasi daging dengan kecap manis dan bawang merah.--Goreng daging hingga kecokelatan.--Sajikan dengan irisan jeruk nipis.,4485
Kambing Bakar Bumbu Kecap,Daging kambing potong sesuai selera--Bumbu kecap--Serai memarkan--Daun salam--Petunjuk Pembuatan,"Marinate daging dengan bumbu kecap, serai, dan daun salam.--Bakar hingga matang sambil diolesi bumbu.--Sajikan dengan nasi putih.",4531
Sop Kaki Kambing,Kaki kambing--Bawang bombay potong-potong--Wortel potong dadu--Kentang potong dadu--Petunjuk Pembuatan,"Rebus kaki kambing hingga empuk.--Tumis bawang bombay, masukkan wortel dan kentang.--Tambahkan kaki kambing dan kuah, masak hingga matang.--Sajikan dengan taburan seledri.",4665
Kambing Guling ala Bali,Daging kambing utuh--Bumbu guling kambing--Serai memarkan--Jeruk limau--Petunjuk Pembuatan,Lumuri daging kambing dengan bumbu guling.--Bakar daging hingga matang sambil diolesi bumbu.--Sajikan dengan serai dan jeruk limau.,4846
Kare Kambing,Daging kambing potong kecil--Santan kelapa--Bumbu kare--Kentang potong dadu--Petunjuk Pembuatan,"Tumis bumbu kare hingga harum.--Masukkan daging kambing, aduk hingga berubah warna.--Tambahkan santan dan kentang, masak hingga matang.--Sajikan dengan nasi hangat.",4947
Kambing Panggang Bumbu Rempah,Daging kambing potong besar--Bumbu rempah--Air asam jawa--Serai memarkan--Petunjuk Pembuatan,"Marinasi daging dengan bumbu rempah dan air asam jawa.--Panggang hingga matang, sambil diolesi bumbu.--Sajikan dengan serai.",5052
Kambing Goreng Mentega,Daging kambing potong kecil--Mentega--Kecap manis--Saus tiram--Petunjuk Pembuatan,"Tumis daging dengan mentega hingga matang.--Tambahkan kecap manis dan saus tiram, aduk rata.--Sajikan dengan nasi putih.",5359
Kambing Rica-Rica,Daging kambing potong sesuai selera--Bumbu rica-rica--Daun kemangi--Jeruk nipis--Petunjuk Pembuatan,"Tumis bumbu rica-rica hingga harum.--Masukkan daging kambing, aduk hingga berubah warna.--Tambahkan daun kemangi dan jeruk nipis, masak hingga matang.--Sajikan dengan nasi hangat.",5381
